player_id,name,normalized_name,team,role_classic,roles_mantra,quotation_classic,quotation_mantra,fvm_classic,fvm_mantra,starts,minutes,starter_signal,set_piece_signal,injury_signal,updated_at,appearances,average_rating,fantasy_average,goals,assists,penalties_scored,penalties_taken,previous_appearances,previous_average_rating,previous_fantasy_average,previous_goals,previous_assists
fc-5995,De Ketelaere,de ketelaere,ATA,A,A,17,18,95,95,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.75,5.75,0,0,0,0,31.0,6.11,6.5,3.0,5.0
fc-5116,Martinez Jo.,martinez jo,INT,P,POR,17,17,68,68,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,5.5,0,0,0,0,5.0,6.0,5.2,0.0,0.0
fc-7071,Esposito F.P.,esposito f p,INT,A,PC,17,17,105,105,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.75,8.75,1,1,0,0,32.0,6.27,7.0,7.0,3.0
fc-4973,McKennie,mckennie,JUV,C,C|T,17,17,70,70,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,6.0,6.0,0,0,0,0,34.0,6.18,6.72,5.0,6.0
fc-2517,De Bruyne,de bruyne,NAP,C,T,17,16,108,108,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.75,8.75,1,1,0,0,18.0,6.33,7.25,5.0,2.0
fc-4964,Vicario,vicario,JUV,P,POR,17,17,70,70,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-2788,Bremer,bremer,JUV,D,DC,16,16,60,60,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.75,8.25,1,0,0,0,26.0,6.29,6.77,4.0,3.0
fc-632,Zaccagni,zaccagni,LAZ,C,W|A,16,15,87,84,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,5.75,0,0,0,0,26.0,5.92,6.0,3.0,0.0
fc-2296,Mancini,mancini,ROM,D,DC,16,16,50,50,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,7.0,0,1,0,0,36.0,6.31,6.57,4.0,2.0
fc-309,Dybala,dybala,ROM,A,A,16,17,100,100,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,7.5,9.0,0,3,0,0,21.0,6.21,6.69,2.0,7.0
fc-6675,Dovbyk,dovbyk,BOL,A,PC,15,15,51,48,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.25,5.25,0,0,0,0,12.0,5.92,6.75,3.0,1.0
fc-6966,Butez,butez,COM,P,POR,15,15,50,50,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,6.17,5.17,0,0,0,0,38.0,6.11,5.41,0.0,1.0
fc-6908,Atta,atta,FIO,C,C|T,15,15,78,78,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,4.75,4.75,0,0,0,0,32.0,6.34,6.86,5.0,3.0
fc-4159,Akanji,akanji,INT,D,DC,15,15,47,47,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.25,0,0,0,0,32.0,6.27,6.39,2.0,0.0
fc-4312,Maignan,maignan,MIL,P,POR,15,15,52,52,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,5.5,0,0,0,0,37.0,6.3,5.46,0.0,0.0
fc-4409,Rrahmani,rrahmani,NAP,D,DC,15,15,51,51,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.5,0,1,0,0,21.0,6.26,6.48,2.0,0.0
fc-6060,Laurientè,lauriente,SAS,A,A,15,16,83,83,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,6.0,0,0,0,0,37.0,6.11,6.86,7.0,9.0
fc-4371,Raspadori,raspadori,ATA,A,A,14,15,73,70,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,7.75,1,0,0,0,13.0,6.0,6.77,3.0,1.0
fc-2120,Bastoni,bastoni,INT,D,DC,14,14,43,43,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.0,0,0,0,0,28.0,6.16,6.3,1.0,4.0
fc-4976,Kalulu,kalulu,JUV,D,DD|DC,14,14,47,49,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.5,0,0,0,0,37.0,6.2,6.42,2.0,4.0
fc-5022,Pavlovic,pavlovic,MIL,D,DC,14,14,49,49,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.25,0,0,0,0,34.0,6.28,6.66,5.0,0.0
fc-7351,Santos A.,santos a,NAP,A,W|A,14,15,61,61,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.0,0,0,0,0,13.0,6.38,7.27,4.0,0.0
fc-7023,Pellegrino M.,pellegrino m,FIO,A,PC,14,14,40,37,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,4.75,4.5,0,0,0,0,37.0,5.85,6.51,9.0,0.0
fc-6572,Castro S.,castro s,ROM,A,PC,14,13,70,70,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.0,0,0,0,0,35.0,6.04,6.63,7.0,1.0
fc-2061,Simeone,simeone,TOR,A,PC,14,14,80,77,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.5,0,0,0,0,32.0,6.22,7.23,11.0,0.0
fc-5694,Beto,beto,FIO,A,PC,14,14,50,50,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-5119,Samardzic,samardzic,ATA,C,C|T,13,13,44,44,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,8.0,1,0,0,0,22.0,5.86,6.2,2.0,2.0
fc-6884,Conceicao,conceicao,JUV,C,W|A,13,12,68,68,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,7.0,0,1,0,0,31.0,6.24,6.65,3.0,5.0
